id,name,year_published,image_url,source,source_url,source_notes
a7b0afc3-2a84-4039-8b88-5b378b704757,10 Days in the USA,2003,https://cf.geekdo-images.com/VM1bHHwUGN4J8CLpdP3dwg__original/img/3PyeNx4ZzBi70paE78Ija7ZKMeI=/0x0/filters:format(jpeg)/pic8002627.jpg,wikidata,https://www.wikidata.org/wiki/Q11956023,
0ca44cb0-b029-4145-b9c7-adcb28361918,Cities,,https://via.placeholder.com/800x600?text=Board+Game,legacy_unknown,,
45f1f346-aaa7-4683-8cbe-3aa40d62e5e2,Battleground: Crossbows & Catapults,2007,https://cf.geekdo-images.com/vbWhXsB-FHNxJWrUAFEjTg__original/img/8uloGSG6JWBVkGV6TAEw4oDsrY0=/0x0/filters:format(jpeg)/pic231219.jpg,legacy_unknown,,
b697c907-c9e4-48c3-aab8-2cbc26e88dd3,Djam,2011,https://cf.geekdo-images.com/nscf9dVUgAsuMIlZN7XXIg__original/img/mx00JJDYD1lSIWi-piXJytz7Sx4=/0x0/filters:format(png)/pic919537.png,legacy_unknown,,
4a98e646-fad0-4939-81e4-5d58d8739319,Mr. Jack in New York,2009,https://cf.geekdo-images.com/evu5RaD6Msa1sE92Qi2E6Q__original/img/n4IgxCWG5Y17G9C2GMAviqprfco=/0x0/filters:format(jpeg)/pic6505210.jpg,legacy_unknown,,
7635a5c1-76fb-421d-812a-29ec6cb56d66,Alice's Garden,2020,https://cf.geekdo-images.com/JhLSvQu1cOBg4Dg5l3BgHw__original/img/mk1IkndkEo9ZA5nm4RumY9lBiCI=/0x0/filters:format(jpeg)/pic5177326.jpg,legacy_unknown,,
78fd17a2-bc74-49e0-af60-7b363b119047,Hexenstich,1994,https://cf.geekdo-images.com/g4S2PWliwQvxH9waVHIglQ__original/img/-kFMduKHuDkANmSxH61HdTZoY3U=/0x0/filters:format(jpeg)/pic238562.jpg,legacy_unknown,,
8f58e745-a669-4353-abbe-73ef58785782,"Barbarossa: Army Group South, 1941",1996,https://cf.geekdo-images.com/ArA2-HjleshHYd6jfeKPaQ__original/img/5ypojSrmy3DK3l8x0NaclinIuE0=/0x0/filters:format(jpeg)/pic44343.jpg,legacy_unknown,,
8f822caa-0bd4-436b-96eb-1c0519b9c3b3,Hunt A Killer: Murder at the Motel,2021,https://cf.geekdo-images.com/hVogCnNzWr1f6gfNqVfetw__original/img/a3s5DjQdt68-VjfPWbec9PtM7TI=/0x0/filters:format(jpeg)/pic6256055.jpg,legacy_unknown,,
1f9e6c02-7cdf-48d1-a75d-2e98a4d006ab,Castle Flutterstone,2016,https://cf.geekdo-images.com/x5v0nqZ8Xwyyk8m2lXlqKA__original/img/EX75-qsZaX2doIXTnIXgTQ3sqNo=/0x0/filters:format(jpeg)/pic3048413.jpg,legacy_unknown,,
9399d122-8988-4d70-94f5-acf43428b39a,Spy Guy,2022,https://cf.geekdo-images.com/gMnp70rUICtCs9S86-RWlQ__original/img/ysrMhKheWyHJHN3_oTSQoksnRgk=/0x0/filters:format(png)/pic7052958.png,legacy_unknown,,
7b9306cf-b608-4a67-841f-2406d4d66041,Level 7 [Omega Protocol],2013,https://cf.geekdo-images.com/5pEU4NzNwExXBDUUwn1fDg__original/img/HJh2mLew0iMFJLQH0ZR3B0F-7Jw=/0x0/filters:format(jpeg)/pic7002084.jpg,legacy_unknown,,
b08c895e-9b80-4b9e-8117-a21ea2d1d6b5,Imperial Struggle,2020,https://cf.geekdo-images.com/FTE7dxVd4jQaIwwRcCQcRw__original/img/u10ruUkKuaXP9f2ZAswX9R9r9hM=/0x0/filters:format(jpeg)/pic5291148.jpg,legacy_unknown,,
9ce12958-74a4-433a-879a-73a4dbbedc0a,Orloj: The Prague Astronomical Clock,2025,https://cf.geekdo-images.com/PhwbD--vP0xEdMD-WZlZTA__original/img/nqliFXBHqzHE-QR6Zg0CgcB2n-c=/0x0/filters:format(png)/pic8685899.png,legacy_unknown,,
46c69784-b978-4c5c-9811-b54f55789ad7,Memoir '44,2004,https://cf.geekdo-images.com/Ij9Zpnx1jVmtLtBD3DvLXQ__original/img/S5OMoCGqlYwZQWcnYRUvVmap2NE=/0x0/filters:format(png)/pic9000036.png,legacy_unknown,,
27324c9a-d92c-4e61-9bfc-0ff5372dae53,Lords of Waterdeep,2012,https://cf.geekdo-images.com/-hk8f8iGk_DyWyMrfiPBkg__original/img/GWNOhno3y7g0XE00VacKaRxoczk=/0x0/filters:format(jpeg)/pic1116080.jpg,legacy_unknown,,
b00fda5c-1e9b-40d7-9941-558bc73e7dfe,Arkwright: The Card Game,2021,https://cf.geekdo-images.com/8idwh3TfQ5FWGaMExD5HRw__original/img/B1k6WF1u1t4JFMLfF4BgTsAlvuI=/0x0/filters:format(jpeg)/pic5408665.jpg,legacy_unknown,,
f94446c8-6235-400d-a50b-fc10134abfd0,Commands & Colors: Napoleonics,2010,https://cf.geekdo-images.com/eVEF5fs8D22b0Bwj17mNgQ__original/img/C8DqUA3sh-p_RR9XL4RweCarLRM=/0x0/filters:format(jpeg)/pic837162.jpg,legacy_unknown,,
8f22d6a5-4fcc-4d8f-b0ad-b4c66d8ea155,7 Ages,2004,https://cf.geekdo-images.com/Kuwf88Na5ts58wYXzncRaA__original/img/u9ml7efxeBLz1BsC8R3au4o5t6c=/0x0/filters:format(jpeg)/pic670488.jpg,legacy_unknown,,
b9f8641b-7311-4459-8fa8-56f3ecbba7dd,Dark Moon,2011,https://cf.geekdo-images.com/BhDoxSC8IqhbMRclci76gA__original/img/vv4Kc2-MElXZ9XOovyZNIK8Jlns=/0x0/filters:format(jpeg)/pic2320134.jpg,legacy_unknown,,
99350368-6eea-47b2-9f15-dbb49fb167e7,Mutant Year Zero: Zone Wars,2024,https://cf.geekdo-images.com/x4ad4l5EGsDvCji_G8RFPg__original/img/mXv2V4rhkNmORgFAp5leXKFtr6M=/0x0/filters:format(jpeg)/pic7168492.jpg,legacy_unknown,,
79927cc5-b6a4-4c3b-9b31-d24e737da766,Hands Up,2002,https://cf.geekdo-images.com/AwvrPCvxr5LOJCyoPirM1w__original/img/T6tuale19vPXBuMqifBWQ_6mtQE=/0x0/filters:format(jpeg)/pic998907.jpg,legacy_unknown,,
2d330672-f248-4079-8b56-bab1059a5d48,Komodo,2012,https://cf.geekdo-images.com/dgaRvaxKKXTgUm51UthTmQ__original/img/lu8RyTWC3xti8NbC4bPwABRw5Ao=/0x0/filters:format(jpeg)/pic6713136.jpg,legacy_unknown,,
79ccf267-c056-4f32-b5db-d16c326af819,Blocky Mountains,2014,https://cf.geekdo-images.com/j1LnShMXfJJ4EwCdL49i-Q__original/img/EBKY7qcMDLmzGMYFVXPJ3iUTntg=/0x0/filters:format(jpeg)/pic1967839.jpg,legacy_unknown,,
1e635ab9-aa84-427f-bc89-9c9cb9d1c6e8,Tiny Epic Quest,2017,https://cf.geekdo-images.com/Cd65qIFLnJlkWTfbKDk_FA__original/img/k-346D8FwQe_GUwi40trFGjD7JM=/0x0/filters:format(jpeg)/pic3120755.jpg,legacy_unknown,,
dae602d2-2b82-44fa-8a23-68d69ec989d1,7Seas,2022,https://cf.geekdo-images.com/HBPxd84sy99Aj1nzgkaRxw__original/img/cgbtHmY722G-s-u-Adtjh3X33b0=/0x0/filters:format(jpeg)/pic6655156.jpg,legacy_unknown,,
0cea0dad-6dc2-4532-90d1-26c042551b8d,Snake Oil,2010,https://cf.geekdo-images.com/q-Sdv383LKSBIPOrSRb5Cg__original/img/_GNdgmgIOZH657Cmh9ETKxyUqm4=/0x0/filters:format(jpeg)/pic7617053.jpg,legacy_unknown,,
9af130d6-7769-49de-94d0-1280e7d11766,Vuoden Peli Childrens Game of the Year Nomine,2009,https://cf.geekdo-images.com/Je2u5CURO5Z6_sc9Ud6tvw__original/img/btBEEaatfIPiqNWCCWCtQ8GbVzI=/0x0/filters:format(jpeg)/pic579702.jpg,legacy_unknown,,
9cebfce1-d33e-4b2a-ac6e-15154dfbeab0,Kula Kula,1991,https://cf.geekdo-images.com/jDzjCdwCaz5_5DWmFl5zkw__original/img/FiGH3i5l_cMIK5Toxl7xV4V8clU=/0x0/filters:format(jpeg)/pic636969.jpg,legacy_unknown,,
53561d87-ccdf-4398-80e7-bbcb61e88767,Lift Off,2018,https://cf.geekdo-images.com/EBMYmLaPwMfUUaiO90Ozyw__original/img/wmGwmg2OW3-k_vkmzoIdG1T1dTc=/0x0/filters:format(png)/pic4313310.png,legacy_unknown,,
48a73816-fe3b-448f-bbed-eb5cf90a4581,Glasgow,2020,https://cf.geekdo-images.com/jf8tzy1AGz0hXF4_tre32A__original/img/-cPQmUylzHCkpMRh3FBDMrQbh4E=/0x0/filters:format(jpeg)/pic5413002.jpg,legacy_unknown,,
dd0a5ab6-13a0-401f-896c-6ffd76547701,Ramba Samba,2006,https://cf.geekdo-images.com/qOC4Ht3MKKeZEVnrXgww_A__original/img/ZxdegESiLMqkVAd5xRl-eP9Ljn8=/0x0/filters:format(jpeg)/pic378741.jpg,legacy_unknown,,
2a57d1fa-499b-441d-b8ef-8ce753aae4d5,Skyjo,2015,https://cf.geekdo-images.com/NMNeoJY6aU6C2EJz67YEfA__original/img/VR-7OxQlkuNRvSwYg9_M7aUn_zI=/0x0/filters:format(jpeg)/pic4559127.jpg,legacy_unknown,,
9db1a82e-9a2c-43bc-bfec-879d7c02e17b,Pròxima Obertura,2007,https://cf.geekdo-images.com/NSJ6pHiIyIJJAsVk5eZT_Q__original/img/oN94DHKW_plIrJ6pi0FzpuC44og=/0x0/filters:format(jpeg)/pic198706.jpg,legacy_unknown,,
b0018d61-5b20-40c5-ac19-d17981413004,Sherlock Holmes Consulting Detective: The Baker Street Irregulars,2020,https://cf.geekdo-images.com/demwo7nCkIHbUcFohLwfsQ__original/img/rKRPGfBV4dKWehRNWBsEsM3RuWM=/0x0/filters:format(jpeg)/pic5198810.jpg,legacy_unknown,,
9dd86f14-9ec9-44f4-b275-4ba3fc2914d6,Dungeons & Dragons Miniatures Game (Second Edition),2008,https://cf.geekdo-images.com/TeO5UqIuZUxWPrt64xFOaA__original/img/CLL8XkHsapW0k_F1zWEgxCFYsiA=/0x0/filters:format(jpeg)/pic355576.jpg,legacy_unknown,,
1a132c97-f05d-4a9f-989f-9c3ba3e65178,Techno Bowl: Arcade Football Unplugged,2017,https://cf.geekdo-images.com/bBv4KEE47e8TiLbWueD9MQ__original/img/o687RUdOWpwftZuWHIXgpOnFnyk=/0x0/filters:format(jpeg)/pic2918767.jpg,legacy_unknown,,
9e06c9ff-c626-4521-9aa0-a95a326432ca,Opus-Dei: Existence After Religion,2008,https://cf.geekdo-images.com/qtAeqmIV3qOpkg0i-44b6Q__original/img/Q1Na-Yw75PTo1R-KUvAbcZGdizE=/0x0/filters:format(jpeg)/pic464058.jpg,legacy_unknown,,
