id,name,year_published,source,source_url,source_notes,source_confidence
041be7e6-a485-40f2-86fb-50289acce85d,1846: The Race for the Midwest,2005,legacy_unknown,,,0.1
4434279e-63b2-41ae-9360-2fd09e580487,1848: Australia,2007,legacy_unknown,,,0.1
420484a3-995d-431e-a6c3-31314a46d65d,1849: The Game of Sicilian Railways,1998,legacy_unknown,,,0.1
4e8152b4-48a6-4457-89dd-5e5dc1521c6e,1856: Railroading in Upper Canada from 1856,1995,legacy_unknown,,,0.1
0060bd7a-6cd3-4c09-b517-8e83e472bb87,1857,2015,legacy_unknown,,,0.1
6044ae21-8dc3-4439-bca2-c865d2e0278a,1860: Railways on the Isle of Wight,2004,legacy_unknown,,,0.1
d6e065b6-f1ee-432e-98b6-2bc3f20ec9b6,1861: Railways of the Russian Empire & 1867: Railways of Canada,2020,legacy_unknown,,,0.1
2cce9a1c-3892-420e-b91a-b14cdb583499,1861: The Railways of the Russian Empire,2006,legacy_unknown,,,0.1
2ff415a3-e7bf-4bd4-811c-86e77d2882a8,1862: Railway Mania in the Eastern Counties,2013,legacy_unknown,,,0.1
ff989a23-8b1b-454d-8038-15d9c9d1631e,1870: Railroading Across the Trans Mississippi from 1870,1992,legacy_unknown,,,0.1
6d9aece9-f8e1-4d67-95ec-5b6e3d87bf4d,1880: China,2010,legacy_unknown,,,0.1
5b473fde-1875-40fc-8d66-0d4ec1b13fd0,1882: Assiniboia,2019,legacy_unknown,,,0.1
9a5869e3-0473-4d12-909a-3d5c46fa3e92,18AL,1999,legacy_unknown,,,0.1
23b6098a-fdd7-41a4-bf96-6ead6cd2eada,18Chesapeake,2018,legacy_unknown,,,0.1
880eaee6-5cbc-4def-853b-5074be1b9914,18CZ,2017,legacy_unknown,,,0.1
a065bb66-06e8-4d8c-ad7b-efb969e3cb7b,18Ireland,2017,legacy_unknown,,,0.1
e09359ba-6960-4b8e-94d6-24f56b3cfbc7,18Lilliput,2018,legacy_unknown,,,0.1
fef034bf-b70a-4690-a6ec-20883802e757,18MEX,2005,legacy_unknown,,,0.1
744bf215-d775-4c8d-8d4f-715dd7c11be6,18OE: On the Rails of the Orient Express,2014,legacy_unknown,,,0.1
5b387a76-d27a-4cdb-a2bb-99bc51946faa,1906 San Francisco,2018,legacy_unknown,,,0.1
37bd74d5-22bb-4666-bca1-3ae50a8eca35,1911 Amundsen vs Scott,2011,legacy_unknown,,,0.1
