game_name,mentions,users,mapped_rankings
Dastardly Dirigibles,1,zekewest,6
DC Forever,1,zekewest,5
DC Super-Skill Pinball: Harley Quinn Ball,1,zekewest,9
Dead by Daylight,1,zekewest,6
Death Battle!,1,zekewest,2
Deck Box Dungeons,1,zekewest,8
Deep Shelf,1,zekewest,6
Delicious,1,zekewest,8
Deranged,1,zekewest,7
Desktop HEBOCON Battle Kit,1,zekewest,8
Detective Rummy,1,zekewest,2
Dice Conquest,1,zekewest,8
Dice Kingdoms of Valeria,1,zekewest,8
Dice Manor,1,zekewest,5
Dice Throne Season 2,1,zekewest,9
Diceborn Heroes,1,zekewest,7
Die Hard: The Nakatomi Heist,1,zekewest,6
Die in the Dungeon,1,zekewest,6
Difference,1,zekewest,5
Dimension: The Brain Game To Go,1,zekewest,6
Dino Party,1,zekewest,6
Dinosaur Island (2.0),1,zekewest,8
Dirt & Dust,1,zekewest,6
Discover: Lands Unknown,1,zekewest,5
Discoveries,1,zekewest,9
Disney Lorcana: Gateway,1,zekewest,6
Disney Princess See the Story,1,zekewest,5
Disney Sorcerer’s Arena,1,zekewest,8
Divinus,1,zekewest,5
Doctor Who: Don’t Blink,1,zekewest,8
Donald Duck in Happy Camper,1,zekewest,7
Doodle Dungeon,1,zekewest,7
Doughnut Drive-Thru,1,kaizendomingo_100_91,6
Down in Flames: WWII-Guns Blazing,1,zekewest,8
Dr. Esker’s Notebook,1,zekewest,7
Draconis Invasion,1,zekewest,6
Draft and Write Records,1,zekewest,6
Dragon Ball Z: Perfect Cell,1,zekewest,5
Dragon Punch,1,zekewest,8
Dragon Tower,1,zekewest,8
Dragonbond Lords of Vaala,1,zekewest,6
Dragonlance Warriors of Krynn Review,1,zekewest,7
Drawn to Adventure,1,zekewest,7
Drop Squad: The Escape!,1,zekewest,4
Duel of Wands,1,zekewest,6
Dune Betrayal,1,zekewest,3
Dune: House Secrets,1,zekewest,5
Dungeon Bowl,1,zekewest,7
Dungeon Busters,1,zekewest,6
Dungeon Date,1,zekewest,8
Dungeon Draft,1,zekewest,5
Dungeon Kart,1,zekewest,7
Dungeon Legends,1,zekewest,7
Dungeon of the Mad Mage,1,zekewest,7
Dungeon Saga: Origins,1,zekewest,7
Dungeon Scrawlers: Heroes of Undermountain,1,zekewest,6
Dungeons & Dragons: Builders of Baldur’s Gate,1,zekewest,5
Dungeons and Dragons 5th Edition Dungeon Master’s Guide,1,zekewest,9
Dungeons and Dragons 5th Edition Monster Manual,1,zekewest,10
Dungeons and Dragons 5th Edition Player’s Handbook,1,zekewest,9
Dungeons and Dragons Onslaught,1,zekewest,4
Dust in the Wings,1,zekewest,6
Dying Message,1,zekewest,5
E.T. The Extra-Terrestrial: Light Years from Home Game,1,zekewest,5
Echoes,1,zekewest,8
Egizia: Shifting SandsEgizia: Shifting Sands,1,zekewest,8
Elden Ring: The Board Game – Stormveil Castle,1,zekewest,4
Elevenses: The Guilty Party,1,zekewest,4
Empires,1,zekewest,7
Empires at Sea,1,zekewest,3
Empyreal Spells and Steam,1,zekewest,10
Endless Destinies: The Clockwork City,1,zekewest,6
Enola Holmes: Finder of Lost Souls,1,zekewest,6
Epic Resort,1,zekewest,6
Esc Welt Breakout Games,1,zekewest,4
Escape from Iron Gate,1,zekewest,8
Escape from New York,1,zekewest,7
Escape from Projekt Riese,1,zekewest,6
Escape Room in a Box: Flashback,1,zekewest,8
Ettin,1,zekewest,8
Euphoria,1,zekewest,8
Europa Base Alpha,1,zekewest,3
Everstone: Discovering Ignis,1,zekewest,7
Evil High Priest,1,zekewest,8
EXCEED: Street Fighter,1,zekewest,8
Exodus Fleet,1,zekewest,6
Express Route,1,zekewest,5
Faeries and Magical Creatures,1,zekewest,8
Fairy Lights,1,zekewest,4
Famous: Stage I,1,zekewest,6
Fantasy Defense,1,zekewest,6
Fantasy Realms: Greek Legends,1,zekewest,9
Far Cry: Escape from Rook Islands,1,zekewest,2
Far Space Foundry,1,zekewest,4
Farm Rescue,1,zekewest,7
Farmageddon,1,zekewest,5
Fast and Furious Highway Heist,1,zekewest,8
Fate Flip: Washed Ashore,1,zekewest,7
Favelas,1,zekewest,6
Feed the Shoggoth!,1,zekewest,7
Fidelitas,1,zekewest,7
Fight 5,1,zekewest,6
Fillit,1,zekewest,8
Final Touch,1,zekewest,8
Fire in the Hole,1,zekewest,8
Firefly: Misbehavin’,1,zekewest,6
Fishing Party,1,zekewest,6
Flapjack Flipout,1,zekewest,7
Flex NBA,1,zekewest,6
Flickfleet,1,zekewest,9
Floriferous: Pocket Edition,1,zekewest,8
Flower Fields,1,zekewest,6
Fluttering Souls,1,zekewest,5
Folded Wishes,1,zekewest,5
Food Truck Champion,1,zekewest,5
Food Truck Entrepreneur,1,zekewest,3
Football Highlights 2052,1,zekewest,5
Footprints,1,zekewest,7
For Northwood,1,kaizendomingo_70_61,7
Forged in Steel,1,zekewest,7
Fountains,1,zekewest,8
FourCuatro,1,zekewest,4
Fozzy Football,1,zekewest,7
Friday the 13th: Horror at Camp Crystal Lake,1,zekewest,7
Fruit Picking,1,zekewest,7
FUBA,1,zekewest,7
Funkoverse: Squid Game 100 and 101,1,zekewest,9
Fury of Dracula,1,miaquattro,7
