game_name,mentions,users,mapped_rankings
The Amberden Affair,1,zekewest,3
The Battle in Balin’s Tomb,1,zekewest,7
The Binding of Isaac: Four Souls Requiem,1,zekewest,6
The Book of Rituals,1,zekewest,7
The Butterfly Garden,1,zekewest,7
The Captain Is Dead: Dangerous Planet,1,zekewest,6
The Cat Mitt Game,1,zekewest,7
The Cohort,1,zekewest,7
The Coldest Night,1,zekewest,3
The Dark Quarter,1,zekewest,5
The Dead Eye,1,zekewest,8
The Exiled: Siege,1,zekewest,7
The Expanse,1,zekewest,7
The Gardens,1,zekewest,6
The Golden Sails,1,zekewest,9
The Goonies Adventure Card Game,1,zekewest,5
The Haunted Mansion – Call of the Spirits,1,zekewest,8
The Key: Escape from Strongwall Prison,1,zekewest,6
The King’s Armory,1,zekewest,8
The Lady and the Tiger,1,zekewest,8
The Last Bottle of Rum,1,zekewest,5
The Last of Us: Escape the Dark,1,zekewest,7
The Legends of Andor,1,zekewest,6
The Liberation of Rietburg,1,zekewest,7
The Lord of the Rings: The Fellowship of the Ring - Trick-Taking Game,1,kaizendomingo_20_11,9
The Ming Voyages,1,zekewest,6
The Night Hunter,1,zekewest,9
The Path of Adventurers,1,zekewest,5
The Peak Team,1,zekewest,8
The Perfect Wave,1,zekewest,7
The Pirate Republic: African Gambit,1,zekewest,8
The Potion,1,zekewest,6
The Ruhr: A Story of Coal,1,zekewest,8
The Search for UAPs,1,zekewest,9
The Silver River,1,zekewest,5
The Table is Lava,1,zekewest,6
The Texas Chainsaw Massacre Board Game,1,zekewest,9
The Voyage of Argo,1,zekewest,4
The Walking Dead: The Dice Game,1,zekewest,4
Theomachy,1,zekewest,5
They Who Were 8,1,zekewest,5
Thief of Baghdad (Bagdad),1,johnnysmith,9
This Game Goes to Eleven,1,zekewest,4
This War of Mine,1,zekewest,6
Those Pesky Humans,1,zekewest,6
Thrones of Valeria,1,zekewest,8
Ticket to Ride: Europe - 15 Years,1,auriliamoniz_51_100,7
Time Barons,1,zekewest,7
Time Breaker,1,zekewest,5
Time Division,1,zekewest,5
TIME Stories,1,zekewest,9
Time’s Up!,1,miaquattro,6
Tiny Ninjas,1,zekewest,8
Tiny Tina’s Robot Tea Party,1,zekewest,4
Titan Race,1,zekewest,6
Titans Tactics,1,zekewest,6
Tokaido 10th Anniversary Edition,1,zekewest,6
Tokyo Coin Laundry,1,zekewest,5
Tokyo Game Show,1,zekewest,3
Tokyo Jidohanbaiki,1,zekewest,7
Tokyo Jutaku,1,zekewest,8
Tokyo Washi Game Cops,1,zekewest,7
TopSpin,1,zekewest,2
Tower of Madness,1,zekewest,7
TowerBrix,1,zekewest,8
Towers of Äm’härb,1,zekewest,5
Trail Story: America,1,zekewest,6
Train & Railway,1,zekewest,7
Train Heist,1,zekewest,5
Traveller Customizable Card Game,1,zekewest,7
Trickster: Champions of Time,1,zekewest,7
TRND,1,zekewest,6
Truck Off,1,zekewest,5
Tusk! Surviving the Ice Age,1,zekewest,6
Twenty One,1,zekewest,6
Two Base Stations,1,zekewest,6
Tzolk’in.,1,waynekin,8
UBOOT,1,zekewest,6
Ultimate Treehouse,1,zekewest,5
Umami,1,zekewest,8
Unlock!,1,zekewest,8
Unmatched,1,zacheturner_50_1,9
Unmatched: Battle of Legends,1,zekewest,8
Unrest,1,zekewest,5
Unsolved Case Files,1,zekewest,7
Upkeep,1,zekewest,5
USPS: The Great American Mail Race,1,zekewest,4
V-Commandos,1,zekewest,8
V-Wars,1,zekewest,7
Valhal,1,zekewest,4
Valley of the Kings: Premium Edition,1,zekewest,9
Vampire the Masquerade: The Book of Nod,1,zekewest,8
Vampire: The Masquerade – Rivals,1,zekewest,8
Vampires vs Unicorns: Floor Wars,1,zekewest,4
Villainous,1,zekewest,8
Villainous: Sugar and Spite,1,zekewest,8
Vineyard,1,zekewest,5
Vinyl: Jukebox,1,zekewest,6
Vivid: Memories,1,zekewest,5
Vivo,1,zekewest,7
Warcrow Adventures,1,zekewest,6
Warcry: Catacombs,1,zekewest,8
Warehouse 51,1,zekewest,4
"Warhammer 40,000 Indomitus",1,zekewest,9
"Warhammer 40,000: Fireteam",1,zekewest,8
Warhammer 40k Kill Team – Recruit Edition,1,zekewest,9
Warhammer 40k: Combat Arena – Lair of the Beast,1,zekewest,6
Warhammer 40K: Introductory Set,1,zekewest,9
Warhammer Age of Sigmar: Beginner Set,1,zekewest,7
Warhammer Age of Sigmar: Bladeborn,1,zekewest,9
Warhammer Age of Sigmar: Crypt Hunters,1,zekewest,6
Warhammer Age of Sigmar: Dominion,1,zekewest,9
Warhammer Quest Lost Relics,1,zekewest,5
Warhammer Quest: Cursed City,1,zekewest,9
Wayward,1,zekewest,8
We Need to Talk,1,zekewest,7
Weirdwood Manor,1,zekewest,6
Western Legends Showdown,1,zekewest,5
What Came First?,1,zekewest,7
What Lies Beneath?,1,zekewest,9
What Next?,1,zekewest,9
Who Should We Eat,1,zekewest,3
Wicked: The Game,1,zekewest,7
Wild Kratts Endangered Wildlife,1,zekewest,7
Windup War,1,zekewest,6
Wish You Were Here,1,zekewest,8
Wits and Wagers: It’s Vegas Baby,1,zekewest,8
Wizards Wanted,1,zekewest,5
Wobble King,1,zekewest,4
Wolfwalkers: My Story,1,zekewest,8
Woo-Hoo,1,zekewest,7
World of Tanks Miniatures Game,1,zekewest,8
World War Z: The Game,1,zekewest,3
Wraith and the Giants,1,zekewest,5
WWE Royal Rumble Card Game,1,zekewest,7
WWE Superstar Showdown,1,zekewest,8
Yogi,1,zekewest,6
Yummy World: Party at Picnic Palace,1,zekewest,8
Zombie Princess and the Enchanted Maze,1,zekewest,5
Zombie Tower 3D,1,zekewest,7
Zoo Ball,1,zekewest,5
Zoom in Barcelona,1,zekewest,8
