user,game_name,mapped_ranking
zekewest,Dungeon Date,8
zekewest,Echoes,8
zekewest,Egizia: Shifting SandsEgizia: Shifting Sands,8
zekewest,Escape from Iron Gate,8
zekewest,Escape Room in a Box: Flashback,8
zekewest,Ettin,8
zekewest,Euphoria,8
zekewest,Evil High Priest,8
zekewest,EXCEED: Street Fighter,8
zekewest,Faeries and Magical Creatures,8
zekewest,Fast and Furious Highway Heist,8
zekewest,Fillit,8
zekewest,Final Touch,8
zekewest,Fire in the Hole,8
zekewest,Floriferous: Pocket Edition,8
zekewest,Fountains,8
zekewest,Grackles,8
zekewest,Grand Prix,8
zekewest,Great Scott!,8
zekewest,Gudnak,8
zekewest,Guildmaster’s Guide to Ravnica,8
zekewest,Guilty: Houston 2015,8
zekewest,Guilty: Monaco 1955,8
zekewest,Harrow County,8
zekewest,Harvest + Fall Festival Expansion,8
zekewest,Herbaceous: Pocket Edition,8
zekewest,Hero’s Crossing,8
zekewest,Heroes Welcome,8
zekewest,Hex Roller,8
zekewest,Hispania,8
zekewest,Horizon Zero Dawn: The Board Game,8
zekewest,Horrified: Dungeons and Dragons,8
zekewest,Hundred Days 20,8
zekewest,Imagineers,8
zekewest,Invasion of the Brood,8
zekewest,Jungle Ascent,8
zekewest,Jungle Cruise Adventure Game,8
zekewest,Kill Doctor Lucky: Deluxe 19.5th Anniversary Edition,8
zekewest,King Me,8
zekewest,Knot Dice,8
zekewest,Kronologic: Cuzco 1450,8
zekewest,Kung Fu Panda: The Board Game,8
zekewest,Kyoto No Neko,8
zekewest,Lorcana,8
zekewest,Lord of the Rings Adventure to Mount Doom,8
zekewest,Lucidity: Six Sided Nightmares,8
zekewest,Marvel Dice Masters,8
zekewest,Masters of the Universe: Battleground,8
zekewest,Mean Girls: The Party Game,8
zekewest,Mega Man Adventures,8
zekewest,Mew-Tants RPG,8
zekewest,Miaui,8
zekewest,Millennia: Tracks of Time,8
zekewest,Mind MGMT,8
zekewest,Mini DiverCity,8
zekewest,Mini-Mysteries: The Medieval Mishap,8
zekewest,Necromolds: Monster Battles,8
zekewest,Neon Reign,8
zekewest,Nut So Fast,8
zekewest,Oak and Iron,8
zekewest,Okey Dokey,8
zekewest,Orcs Must Die: The Board Game,8
zekewest,Overboss,8
zekewest,Palm Laboratory,8
zekewest,Papayoo,8
zekewest,Papillon,8
zekewest,Paramedics: Clear!,8
zekewest,Periorbis,8
zekewest,Pharaoh’s Gulo Gulo,8
zekewest,Pigasus,8
zekewest,Poetry Slam,8
zekewest,Posthuman Saga,8
zekewest,Racing Hedgehogs,8
zekewest,Railroad Ink,8
zekewest,Restaurant Rivals,8
zekewest,Rise of Cthulhu,8
zekewest,Robinson Crusoe 2nd Edition,8
zekewest,Robotech: Reconstruction,8
zekewest,Samara,8
zekewest,Sausage Sizzle,8
zekewest,Schrodinger’s Cats,8
zekewest,Scope U-Boot,8
zekewest,Sea Salt and Paper,8
zekewest,Sellswords,8
zekewest,SiliconVania,8
zekewest,SILOS,8
zekewest,Sinoda,8
zekewest,Skyrockets: Festivals of Fire,8
zekewest,Smurfs Hidden Village,8
zekewest,Snowfall Over Mountains,8
zekewest,Star Wars Unlimited: Shadows of the Galaxy,8
zekewest,Street Fighter V: Champion Edition Legends,8
zekewest,Sunflower Valley,8
zekewest,Super Boss Monster,8
zekewest,Super Snipers,8
zekewest,Tales from the Red Dragon Inn,8
zekewest,Taverns and Dragons,8
zekewest,Techno Bowl,8
zekewest,TEDOKU,8
zekewest,Terrible Monster,8
zekewest,The Dead Eye,8
zekewest,The Haunted Mansion – Call of the Spirits,8
zekewest,The King’s Armory,8
zekewest,The Lady and the Tiger,8
zekewest,The Peak Team,8
zekewest,The Pirate Republic: African Gambit,8
zekewest,The Ruhr: A Story of Coal,8
zekewest,Thrones of Valeria,8
zekewest,Tiny Ninjas,8
zekewest,Tokyo Jutaku,8
zekewest,TowerBrix,8
zekewest,Umami,8
zekewest,Unlock!,8
zekewest,Unmatched: Battle of Legends,8
zekewest,V-Commandos,8
zekewest,Vampire the Masquerade: The Book of Nod,8
zekewest,Vampire: The Masquerade – Rivals,8
zekewest,Villainous,8
zekewest,Villainous: Sugar and Spite,8
zekewest,Warcry: Catacombs,8
zekewest,"Warhammer 40,000: Fireteam",8
zekewest,Wayward,8
zekewest,Wish You Were Here,8
zekewest,Wits and Wagers: It’s Vegas Baby,8
zekewest,Wolfwalkers: My Story,8
zekewest,World of Tanks Miniatures Game,8
zekewest,WWE Superstar Showdown,8
zekewest,Yummy World: Party at Picnic Palace,8
zekewest,Zoom in Barcelona,8
zekewest,1972: The Lost Phantom,7
zekewest,Abstract Academy,7
zekewest,Aeterna,7
zekewest,"Air, Land, and Sea: Critters at War",7
zekewest,Algae Inc.,7
zekewest,Anno 1800,7
zekewest,Antarctica,7
zekewest,Armata Strigoi,7
zekewest,Ashes: Reborn,7
zekewest,AssassinCon,7
zekewest,Axis & Allies & Zombies,7
zekewest,Batman Everybody Lies,7
zekewest,Battalion: War of the Ancients,7
zekewest,Battle Bosses,7
zekewest,Benevolent,7
zekewest,Bequest,7
zekewest,Biathlon Blast,7
zekewest,Big Sur,7
zekewest,Birds of A Feather: Western North America,7
zekewest,Bloom Town,7
zekewest,Boss Monster,7
zekewest,Bronze,7
zekewest,Button Men: Beat People Up,7
zekewest,Bye Bye Mr. Fox,7
zekewest,Caesar and Cleopatra,7
zekewest,Captain Carcass,7
zekewest,Captain Marvel: Secret Skrulls,7
zekewest,Castello Methoni,7
zekewest,Catacombs and Castles,7
zekewest,Cerebria,7
zekewest,Chronicles of Light: Darkness,7
zekewest,City Builder Ancient World,7
zekewest,Click Clack Lumberjack,7
zekewest,CMYK!,7
zekewest,Cocobanana,7
zekewest,Conquest: First Blood,7
zekewest,Conspiracy: The Solomon Gambit,7
zekewest,"Critters at War: Flies, Lies, & Supplies",7
zekewest,Cytosis,7
zekewest,Deranged,7
zekewest,Diceborn Heroes,7
zekewest,Donald Duck in Happy Camper,7
zekewest,Doodle Dungeon,7
zekewest,Dr. Esker’s Notebook,7
zekewest,Dragonlance Warriors of Krynn Review,7
zekewest,Drawn to Adventure,7
zekewest,Dungeon Bowl,7
zekewest,Dungeon Kart,7
zekewest,Dungeon Legends,7
zekewest,Dungeon of the Mad Mage,7
zekewest,Dungeon Saga: Origins,7
zekewest,Empires,7
zekewest,Escape from New York,7
zekewest,Everstone: Discovering Ignis,7
zekewest,Farm Rescue,7
zekewest,Fate Flip: Washed Ashore,7
zekewest,Feed the Shoggoth!,7
zekewest,Fidelitas,7
zekewest,Flapjack Flipout,7
zekewest,Footprints,7
zekewest,Forged in Steel,7
zekewest,Fozzy Football,7
zekewest,Friday the 13th: Horror at Camp Crystal Lake,7
zekewest,Fruit Picking,7
zekewest,FUBA,7
zekewest,Galactic Strike Force,7
zekewest,Galilean Moons,7
zekewest,Gears of War,7
zekewest,Gearworks,7
zekewest,Ghosts Love Candy Too,7
zekewest,Godfather: A New Don,7
zekewest,Gunrunners,7
zekewest,Hamsterrolle,7
zekewest,Head Trip,7
zekewest,Heaven and Ale,7
zekewest,Hedgehog Hop,7
zekewest,Hegemonic,7
zekewest,Heir to the Pharoah,7
zekewest,Hoyuk,7
zekewest,Impact: Battle of the Elements,7
zekewest,In a Flash Firefighters,7
zekewest,Indiana Jones Cryptic,7
zekewest,Infiltration,7
zekewest,Infinity Essentials,7
zekewest,Japanime Tactics: Granblue Fantasy,7
zekewest,Jumanji Fluxx,7
zekewest,Jurassic Parts,7
zekewest,Kilter,7
zekewest,King Chocolate,7
zekewest,Kings of Artifice,7
zekewest,Koi,7
zekewest,Last Defense,7
zekewest,Legendary Showdown,7
zekewest,Life in Reterra,7
zekewest,Lindisfarne,7
zekewest,Line of Fire: Burnt Moon,7
zekewest,Long Cow,7
zekewest,Loose Caboose,7
zekewest,Lost Woods,7
zekewest,Mars Open,7
zekewest,Marvel: Age of Heroes,7
zekewest,Meeple Towers,7
zekewest,Mercado,7
zekewest,Meteor,7
zekewest,Metro 2033: Breakthrough,7
zekewest,Miller Zoo,7
zekewest,Mission Control: Critical Orbit,7
zekewest,Mojo,7
zekewest,Monster Chef,7
zekewest,Monster Pit,7
zekewest,Morocco,7
zekewest,Mow Money,7
