user,game_name,mapped_ranking
zekewest,Jurassic World: The Legacy of Isla Nublar,4
zekewest,Kamikaze Chess,4
zekewest,Little Book of Battle Mats,4
zekewest,Lucky Jack,4
zekewest,Machinate,4
zekewest,Mass Effect: The Board Game – Priority: Hagalaz,4
zekewest,Master of Orion: Conquest,4
zekewest,Moku Tower,4
zekewest,Nevada City,4
zekewest,Outpost: Amazon,4
zekewest,Paper App Dungeon,4
zekewest,Pikoko,4
zekewest,Pirate Lords,4
zekewest,Planet of the Apes,4
zekewest,Qwixx: The Card Game,4
zekewest,"Ready, Set, Bet",4
zekewest,Res Publica: 2230AD,4
zekewest,Rhein: River Trade,4
zekewest,Royal Bastards,4
zekewest,Sea King Adventures,4
zekewest,SideQuest: 7th Sea,4
zekewest,Slambo!,4
zekewest,Snatch the Pebble,4
zekewest,Squirrel or Die,4
zekewest,Star Trek: Conflick in the Neutral Zone,4
zekewest,Stellium,4
zekewest,Super Squad High,4
zekewest,Sushi Go!: Spin Some for Dim Sum,4
zekewest,Tambuzi,4
zekewest,The Voyage of Argo,4
zekewest,The Walking Dead: The Dice Game,4
zekewest,This Game Goes to Eleven,4
zekewest,Tiny Tina’s Robot Tea Party,4
zekewest,USPS: The Great American Mail Race,4
zekewest,Valhal,4
zekewest,Vampires vs Unicorns: Floor Wars,4
zekewest,Warehouse 51,4
zekewest,Wobble King,4
zekewest,7th Guest,3
zekewest,Blind Spot,3
zekewest,Cthulhu: The Great Old One,3
zekewest,Daemon Trilogy: Subrosa,3
zekewest,Dune Betrayal,3
zekewest,Empires at Sea,3
zekewest,Europa Base Alpha,3
zekewest,Food Truck Entrepreneur,3
zekewest,GoVenture,3
zekewest,Hengist,3
zekewest,Kartel,3
zekewest,Marvel Contest of Champions: Battlerealm,3
zekewest,Marvel: Damage Control,3
zekewest,Mini Dinosaur,3
zekewest,Necronomicards,3
zekewest,Outpost: Siberia,3
zekewest,Power 1,3
zekewest,Red Sonja: Hyrkania’s Legacy,3
zekewest,Rorschach,3
zekewest,Shapers of Gaia,3
zekewest,Tavern Masters,3
zekewest,The Amberden Affair,3
zekewest,The Coldest Night,3
zekewest,Tokyo Game Show,3
zekewest,Who Should We Eat,3
zekewest,World War Z: The Game,3
zekewest,Death Battle!,2
zekewest,Detective Rummy,2
zekewest,Far Cry: Escape from Rook Islands,2
zekewest,President Bigly,2
zekewest,Space Invaders: Dice,2
zekewest,Super Hack Override,2
zekewest,TopSpin,2
