position,game_name,mapped_ranking
57,Fury of Dracula,7
65,T.I.M.E,7
68,Sidereal Confluence: Trading and Negotiation in the Elysian Quadrant,7
69,Five Tribes,7
73,The Quacks of Quedlinburg,6
77,Time’s Up!,6
